Date,Player,Runs,NotOut,Minutes,BallsFaced,Fours,Sixes,StrikeRate,Innings,Participation,Opposition,Ground
2004-07-21,TM Dilshan,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,Pakistan,Colombo (RPS)
2004-07-21,WPUJC Vaas,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,Pakistan,Colombo (RPS)
2004-07-23,TM Dilshan,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,Bangladesh,Colombo (RPS)
2004-07-23,DPMD Jayawardene,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,Bangladesh,Colombo (RPS)
2004-07-23,UDU Chandana,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,Bangladesh,Colombo (RPS)
2004-07-23,SL Malinga,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,Bangladesh,Colombo (RPS)
2004-07-23,KC Sangakkara,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,Bangladesh,Colombo (RPS)
2004-07-23,WPUJC Vaas,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,Bangladesh,Colombo (RPS)
2004-07-23,M Muralidaran,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,Bangladesh,Colombo (RPS)
2004-07-23,MF Maharoof,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,Bangladesh,Colombo (RPS)
2004-07-23,MS Atapattu,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,Bangladesh,Colombo (RPS)
2004-08-20,MF Maharoof,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,South Africa,Colombo (RPS)
2004-08-20,DNT Zoysa,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,South Africa,Colombo (RPS)
2004-08-22,HMRKB Herath,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,South Africa,Colombo (RPS)
2004-08-25,DNT Zoysa,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,South Africa,Dambulla
2004-08-25,KS Lokuarachchi,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,South Africa,Dambulla
2004-08-25,HMRKB Herath,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,South Africa,Dambulla
2004-08-28,CRD Fernando,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,South Africa,Dambulla
2004-08-28,KS Lokuarachchi,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,South Africa,Dambulla
2004-08-28,MF Maharoof,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,South Africa,Dambulla
2004-08-28,UDU Chandana,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,South Africa,Dambulla
2004-08-28,SL Malinga,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,South Africa,Dambulla
2004-08-28,TM Dilshan,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,South Africa,Dambulla
2004-08-31,HMRKB Herath,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,South Africa,Colombo (SSC)
2004-09-14,WPUJC Vaas,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,Zimbabwe,The Oval
2004-09-14,MF Maharoof,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,Zimbabwe,The Oval
2004-09-14,DNT Zoysa,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,Zimbabwe,The Oval
2004-09-17,DNT Zoysa,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,England,Southampton
2004-09-17,UDU Chandana,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,England,Southampton
2004-09-17,WPUJC Vaas,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,England,Southampton
2004-09-17,MF Maharoof,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,England,Southampton
2004-10-06,DNT Zoysa,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,Pakistan,Karachi
2004-10-09,DNT Zoysa,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,Zimbabwe,Rawalpindi
2004-10-09,CRD Fernando,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,Zimbabwe,Rawalpindi
2004-10-09,MS Atapattu,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,Zimbabwe,Rawalpindi
2004-10-09,DPMD Jayawardene,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,Zimbabwe,Rawalpindi
2004-10-09,WPUJC Vaas,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,Zimbabwe,Rawalpindi
2004-10-09,KC Sangakkara,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,Zimbabwe,Rawalpindi
2004-10-14,WPUJC Vaas,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,Pakistan,Lahore
2004-10-14,CRD Fernando,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,Pakistan,Lahore
2004-10-14,DNT Zoysa,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,Pakistan,Lahore
2004-10-16,DNT Zoysa,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,Pakistan,Lahore
2004-10-16,CRD Fernando,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,Pakistan,Lahore
2005-07-30,M Muralidaran,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,India,Dambulla
2005-07-30,CRD Fernando,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,India,Dambulla
2005-08-02,CRD Fernando,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,West Indies,Dambulla
2005-08-02,M Muralidaran,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,West Indies,Dambulla
2005-08-02,MF Maharoof,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,West Indies,Dambulla
